latitude,longitude,elevation,forest_cover,wetland_area,annual_rainfall,agricultural_land,coast_distance,protected_area,population_density,himalayan_proximity,river_delta_proximity,is_key_wetland,is_key_forest,is_key_grassland,is_coastal,is_himalayan,is_scrubland,is_agricultural,habitat_diversity
25.0,75.0,204.17729765919236,87.11201558260115,24.345370974369366,967.0407630694193,0.0,-30.288281247962413,1.0,10.144447241291585,17.958227023408075,6.935582188853944,1,1,0,1,0,0,0,0.42857142857142855
25.0,75.2,246.1401811437367,35.30074722230596,30.561358703224016,985.5902664258365,39.89351333277368,10.974009527898005,0.0,25.91539738038172,17.53859818856263,13.100585946999864,1,0,0,1,0,1,0,0.42857142857142855
25.0,75.4,0.0,84.40356030543433,20.303334368630143,849.9749367199108,0.0,-1.6502703782278896,0.0,8.245819425024829,20.0,8.587017151248219,1,0,0,1,0,0,0,0.2857142857142857
25.0,75.60000000000001,76.7277183921045,46.19745598736146,20.263807595241417,1622.1299436977947,28.910173560253327,-34.10415215552034,0.5,43.18518976961537,19.232722816078955,9.673808370335728,1,0,0,1,0,0,0,0.2857142857142857
25.0,75.80000000000001,124.9607239352126,79.52786442503697,28.811472924794636,1050.6152940997777,0.0,-16.696598210933463,0.5,70.86058344515739,18.750392760647873,8.174080859225791,1,1,0,1,0,0,0,0.42857142857142855
25.0,76.00000000000001,136.4569806487532,24.979489736174017,22.874941083161332,1413.9209067217719,57.88324027968366,6.732028551243338,0.0,97.59827594797093,18.63543019351247,9.115593632873649,1,0,0,1,0,0,0,0.2857142857142857
25.0,76.20000000000002,456.32875900075373,68.44746132929703,29.21009173845307,682.3957429420926,16.320890002564887,-10.860438927715794,0.0,4.940790382518111,15.436712409992463,11.345712140307423,1,0,0,1,0,0,0,0.2857142857142857
25.0,76.40000000000002,311.5382121450249,40.13555635282779,18.082683658660912,1639.7108446212217,53.69349043791225,-13.938829202761934,0.5,6.290071877083227,16.88461787854975,13.342705693656079,0,0,0,1,0,0,0,0.14285714285714285
25.0,76.60000000000002,0.0,23.802640652753535,20.208947574150727,1642.1939590320153,50.57368170802405,-1.491853540161527,0.5,124.45503882068174,20.0,7.963248067678186,1,0,0,1,0,0,0,0.2857142857142857
25.0,76.80000000000003,249.30095568640098,58.55558656192409,14.852939923376947,1396.5771718647013,25.57141071342635,6.871950703564323,0.5,13.314249571574216,17.50699044313599,12.541816001511734,0,0,0,1,0,0,0,0.14285714285714285
